abr_b	25.1751	25.34	25.34	25.38	25.3545	25.37	25.36	25.4	25.4682	25.4412	25.47	25.53	25.47	25.4556	25.54	25.53	25.18	25.27	25.1186	25.1267	25.1499	25.1461	25.14	25.15	25.05	25.101	25.089	25.07	25.1	25.05	25.23	25.3665	25.25	25.24	25.4915	25.2201	25.3509	25.3103	25.3526	25.346	25.35	25.3	25.4	25.3267	25.5	25.5	25.4	25.49	25.4	25.49	25.52	25.4	25.4349	25.476	25.33	25.4	25.37	25.3927	25.3366	25.3401	25.4264	25.54	25.5371	25.6	25.61	25.6	25.7699	25.22	25.3	25.1795	25.2941	25.3	25.2052	25.7447	25.4	25.46	25.38	25.31	25.4	25.2	25.2294	25.21	25.4369	25.3732	25.5756	25.33	25.33	25.23	25.36	25.36	25.2	25.4	25.2342	25.2	25.5	25.5	25.5	25.5422	25.54	25.4	25.52	25.5176	25.28	25.31	25.4	25.365	25.4	25.49	25.5249	25.488	25.49	25.5	25.68	25.369	25.5899	25.6	25.555	25.65	25.64	25.68
abr_c	26.231	26.02	26.26	26.1939	26.124	26.22	26.29	26.4499	26.14	26.35	25.7001	25.75	25.7188	25.7254	25.64	25.64	25.838	26.04	26.0	25.9	25.828	25.9	25.67	26.03	26.01	26.0738	25.87	25.8101	26.1	26.02	26.0999	26.2	26.0	26.1485	26.1816	26.0991	26.0511	26.01	25.8801	26.06	26.0	25.93	26.01	26.2918	26.24	26.16	26.207	26.21	26.2088	26.21	26.23	26.3	26.4227	26.253	26.4399	26.1001	26.376	26.3001	26.5064	26.46	26.4237	26.21	25.86	26.0169	25.904	25.9942	26.11	26.049	26.01	25.7257	26.0915	25.974	25.9229	25.9693	25.99	25.792	25.836	25.8257	26.2508	26.0	26.0	26.3391	26.465	26.09	26.46	26.5399	26.48	26.4201	26.45	26.4	26.3978	26.3	26.22	26.175	26.1	26.051	26.07	26.0999	26.18	26.1672	26.312	26.3086	26.2586	26.52	26.32	26.26	26.29	26.3	26.14	26.2867	26.16	26.215	26.22	26.29	26.58	26.57	26.4987	26.5002	26.4213	26.5513
acrx	2.65	2.55	2.55	2.5	2.5	2.5	2.65	2.525	2.45	2.25	2.3	2.225	2.2	2.375	2.4	2.3	2.4	2.5	2.5	2.5	2.4	2.15	2.25	2.05	2.1	2.15	2.15	2.1	2.05	2.05	2.1	2.175	2.25	2.25	2.15	2.4	3.15	3.1	3.0	3.125	3.15	3.65	3.8	3.7	3.45	3.65	3.9	3.4	2.95	2.775	2.9	2.95	2.9	3.05	2.95	2.95	3.05	2.975	3.0	2.975	2.95	2.95	2.95	3.0	2.975	2.95	3.05	3.2	3.35	3.3	3.25	3.3	3.25	3.25	3.25	3.2	3.25	3.15	3.0	3.1	3.2	3.2	3.2	3.2	3.35	3.9	4.25	4.4	4.3	4.6	5.5	5.5	5.225	5.05	5.15	5.2	5.5	5.35	2.15	2.125	1.95	1.75	1.75	1.75	2.0	2.025	2.0	1.925	1.8	1.85	1.85	1.9	2.0	2.0	1.975	1.9	1.9	1.95	1.95	1.975
acsf	12.854	12.806	12.806	12.71	12.566	12.758	12.422	12.47	12.47	12.47	12.422	12.47	12.47	12.422	12.422	12.135	12.039	12.326	12.086	12.325	12.277	12.325	12.422	12.47	12.519	12.567	12.422	12.519	12.374	12.519	12.567	12.567	12.567	12.567	12.663	12.663	12.422	12.422	12.519	12.421	12.373	12.373	12.519	12.519	12.421	12.373	12.421	12.323	12.421	12.323	12.275	12.323	11.836	11.691	11.691	11.544	11.544	11.544	11.495	11.495	11.398	11.544	11.348	11.299	11.348	11.299	11.25	11.2	11.151	11.2	11.741	11.544	11.495	11.495	11.348	11.25	11.2	11.2	11.151	11.348	11.2	11.299	11.25	11.2	11.497	11.398	11.497	11.522	11.349	11.349	11.299	11.448	11.398	11.398	11.349	11.398	11.349	11.299	11.299	11.349	11.398	11.299	11.299	11.2	11.35	11.35	11.3	11.2	11.2	11.1	11.1	11.05	11.05	10.75	10.75	10.75	10.75	10.75	10.65	10.6
abg	56.25	55.8	56.2	55.75	55.95	57.6	56.7	56.5	56.3	56.6	54.15	55.35	57.7	57.45	57.85	57.75	54.65	55.75	54.4	52.7	52.4	52.25	54.15	54.95	55.1	55.85	56.55	57.65	56.1	54.75	55.45	54.7	55.45	56.65	57.35	57.0	57.6	56.25	57.3	57.6	57.35	56.8	53.5	53.8	53.95	55.2	54.0	54.55	53.45	53.35	54.25	54.2	52.95	53.0	51.95	52.25	51.9	51.2	51.2	50.15	50.65	50.85	51.25	50.9	50.75	51.1	51.0	50.85	52.15	53.85	54.4	54.7	54.25	54.8	56.0	56.95	57.6	59.15	58.45	58.45	58.15	58.45	58.75	58.4	59.6	60.15	61.6	61.5	61.45	61.1	61.9	62.3	61.7	61.8	61.75	60.65	60.3	58.55	57.4	57.55	56.8	57.05	57.4	55.05	55.85	56.05	57.05	59.05	61.6	60.9	60.85	61.4	62.45	62.6	61.95	61.65	60.85	60.85	60.8	61.95
abil	0.685	0.6081	0.6504	0.5812	0.59	0.5902	0.59	0.59	0.57	0.84	1.41	1.055	1.17	1.4	1.43	1.28	1.24	1.22	1.19	1.14	1.18	1.26	1.4	1.3446	1.37	1.32	1.28	1.18	1.2	1.14	1.08	1.14	1.09	1.07	1.04	1.04	1.08	1.04	0.96	0.915	0.93	0.9429	0.91	0.9087	0.74	0.708	0.7401	0.7597	0.7498	0.655	0.6651	0.591	0.59	0.6584	0.69	0.6882	0.6415	0.6551	0.6799	0.6581	0.675	0.62	0.60386	0.7	0.8399	1.01	0.85	0.753	0.9198	0.82	0.795	0.81	0.7999	0.7601	0.7692	0.726	0.7303	0.741	0.7698	0.76	0.736	0.79323	0.7857	0.7901	0.7562	0.7629	0.9078	0.7698	0.7145	0.715	0.7895	0.77	0.7999	0.824	0.8047	0.8161	0.7816	0.7582	0.7425	0.76	0.7383	0.73	0.7161	0.72001	0.701	0.695	0.659	0.6505	0.66	0.62	0.67	0.6599	0.65	0.6253	0.6316	0.622	0.62	0.6031	0.597	0.6499
abio	2.45	2.35	2.35	2.45	2.4	2.4	2.3671	2.35	2.35	2.3	2.3	2.3	2.25	2.325	2.25	2.35	2.3	2.3	2.35	2.45	2.45	2.35	2.5	2.45	2.4	2.4	2.45	2.35	2.35	2.45	2.6	2.65	2.6	2.6	2.45	2.4	2.5	2.4	2.475	2.475	2.425	2.45	2.4	2.375	2.125	2.05	1.85	1.9	1.9	2.0	1.9	1.875	1.825	1.7	1.45	1.45	1.325	1.15	1.2	1.25	1.275	1.15	1.05	1.1	1.15	1.175	1.1	1.15	1.05	1.1	1.1	1.15	1.15	1.1	1.2	1.19	1.2	1.2	1.25	1.2	1.15	1.15	1.2	1.175	1.2	1.15	1.19	1.16	1.15	1.15	1.15	1.3	1.5125	1.45	1.5	1.65	1.5	1.55	1.5	1.55	1.375	1.35	1.4	1.3	1.25	1.35	1.275	1.325	1.34	1.3	1.2	1.212	1.225	1.21	1.225	1.2	1.2	1.175	1.2	1.15
adhd	1.13	1.12	1.13	1.12	1.11	1.19	1.18	1.14	1.13	1.13	1.13	1.21	1.18	1.18	1.19	1.165	1.12	1.15	1.13	1.12	1.12	1.12	1.15	1.12	1.14	1.1301	1.12	1.13	1.13	1.11	1.11	1.13	1.13	1.12	1.14	1.13	1.13	1.1299	1.12	1.14	1.12	1.12	1.12	1.12	1.11	1.12	1.11	1.095	1.0999	1.09	1.08	1.08	1.02	1.02	1.03	1.04	1.045	1.02	1.01	1.035	1.02	0.9999	1.01	1.01	1.02	1.02	1.04	1.01	1.01	1.03	1.03	1.03	1.01	1.02	1.065	1.11	1.11	1.12	1.1	1.12	1.07	1.06	1.08	1.1	1.12	1.12	1.11	1.11	1.01	1.01	1.05	1.0114	0.99	1.01	1.05	1.09	1.09	1.095	1.17	1.21	1.15	1.23	1.27	1.51	1.59	1.46	1.51	1.44	1.49	1.5	1.52	1.57	1.49	1.43	1.47	1.43	1.44	1.35	1.3414	1.39
adi	81.214	81.43	81.896	83.864	84.813	81.302	80.016	77.881	79.216	80.389	81.99	78.171	79.305	80.787	80.499	79.315	79.603	79.932	78.768	79.544	80.876	81.105	80.131	77.714	78.768	77.316	77.376	75.695	77.316	76.908	78.042	78.301	79.424	79.932	79.832	81.105	80.648	80.697	79.932	80.409	78.529	78.34	79.086	80.28	79.116	78.808	78.579	78.519	78.39	77.515	77.356	78.44	78.539	77.555	76.411	77.614	79.464	79.524	79.623	77.137	77.316	77.276	78.738	78.639	78.838	78.539	79.007	79.116	83.263	83.214	83.92	82.547	82.06	81.1	80.44	82.22	82.15	82.06	82.34	83.84	85.17	85.24	83.69	84.24	84.92	83.88	83.91	84.92	85.64	86.17	85.82	85.9	87.0	87.89	87.87	87.71	88.0	88.57	88.83	89.06	88.83	88.94	89.0	88.8	88.93	88.77	90.29	89.86	90.56	91.21	91.32	91.3	90.99	90.79	91.81	92.28	91.9	92.0	89.7	89.59
adm	42.225	42.295	42.126	41.789	41.263	41.501	41.898	41.62	41.63	41.59	41.69	41.699	42.106	42.037	41.729	42.037	42.235	42.116	41.164	40.935	40.717	40.846	40.985	40.687	40.826	40.32	41.064	41.144	41.481	40.786	40.925	40.499	39.983	40.588	41.064	41.164	41.283	40.866	40.965	41.104	40.945	41.064	41.64	41.392	41.461	41.461	41.858	42.97	42.166	42.295	42.265	42.116	41.918	42.166	41.799	40.945	41.63	42.05	42.15	41.67	41.27	41.56	41.72	41.77	41.08	41.75	41.77	41.74	41.86	41.32	42.2	41.94	42.4	42.59	42.37	42.79	43.21	43.29	43.45	43.84	44.09	43.89	43.32	43.29	43.38	43.57	43.52	43.05	42.75	42.51	42.62	42.72	43.03	43.35	43.0	42.61	43.01	43.29	43.44	44.0	43.7	43.67	43.31	43.31	43.49	43.57	43.73	43.44	43.01	43.07	42.81	40.87	40.62	40.16	39.78	39.27	39.54	39.8	39.6	39.93
